id,detil,title,avgprice,comments,avgscore,fornting,address
bc97b987d1d57544e7dbc8f9f326d61e,http://e.meituan.com/meishi/6114100/,马克杯面食吧（首山路店）,21,256,4,http://p0.meituan.net/600.600/mogu/06bd308724637fa460b66573763fc2f8124542.jpg,仓山区首山路大掌柜商业街内（近学生街七街十二府旁）
81054f3a6701e49df6ab4041a1eb6099,http://e.meituan.com/meishi/42072719/,CoCo都可（元洪店）,13,287,4,https://img.meituan.net/600.600/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,台江区瀛洲街道台江路95号东百元洪G层A17铺位
4fb9e0d00d952e9cf0039c6510d56fc2,http://e.meituan.com/meishi/829931/,天福海鲜大酒楼,126,228,5,http://p1.meituan.net/600.600/deal/201108/29/_0829144515.jpg,鼓楼区五四路138号天福大厦四楼（近环球广场旁）
5ef9f96863dedc31690081bf236149e1,http://e.meituan.com/meishi/63721097/,日光海蒸鲜工坊,118,871,4,http://p1.meituan.net/600.600/mogu/47c4feab4fe097ae8c25374535035c98251208.jpg,鼓楼区六一北路558号金三桥大厦A座1楼（太平洋保险隔壁，米乐星KTV楼下）
618063f7bee1aa29b248be012040ffa6,http://e.meituan.com/meishi/52437146/,DF冰雪精灵（爱琴海购物公园店）,23,3740,5,http://p1.meituan.net/600.600/deal/f4d2a884be8b1323585f084af62133bb95447.jpg,仓山区浦上大道198号爱琴海购物公园4楼
627c4ae4f0508699ff5cdee3a21ce1ff,http://e.meituan.com/meishi/1552092/,元祖食品（五四店）,59,0,4,https://img.meituan.net/600.600/msmerchant/64596310d0df965926e512f1a68b28fc313656.jpg,鼓楼区温泉街道湖东路187号1号楼6号店面
ee38f156cc528b974cf796bc184328c9,http://e.meituan.com/meishi/64910713/,星山妈妈手炭火烤肉专门店,65,137,5,http://p0.meituan.net/600.600/apiback/59ff842e089f39d89139123de6b47bd3246881.jpg,台江区工业路193号宝龙城市广场1层
a01a05d8d787918dcd08cdcbab36a1cd,http://e.meituan.com/meishi/65975535/,博多一豚轩（东二环泰禾店）,49,1225,5,https://img.meituan.net/600.600/msmerchant/479c80ec4b8569892237ebc5ce9de025333908.jpg,晋安区连江北路东二环泰禾广场L605号
4ff8384f23a0f4db18aca643cc0faadd,http://e.meituan.com/meishi/42978722/,祥广记（世欧王庄店）,60,264,4,http://p1.meituan.net/600.600/mogu/566050dbfd87b91f827e09e0147ad55971294.jpg,"晋安区长河路88号王庄世欧广场北区4楼A3-4-5,A3-4-6铺位"
96dc7246984be689352fffd00d293dc5,http://e.meituan.com/meishi/40219611/,星期五（美式西点）,15,193,5,http://p1.meituan.net/600.600/deal/0eba29b12fc3a1db4559bfb328a6cbe444928.jpg,马尾区君竹路37号西提丽府10#楼1层01、02店面
